rental_id,duration,bike_id,end_date,end_station_id,end_station_name,start_date,start_station_id,start_station_name,end_station_logical_terminal,start_station_logical_terminal,end_station_priority_id
42538115,4320,9378,4/12/2015 18:04:00,130,"Tower Gardens , Tower",4/12/2015 16:52:00,498,"Bow Road Station, Bow",,,
64990374,2280,24,5/14/2017 18:16:00,631,"Battersea Park Road, Nine Elms",5/14/2017 17:38:00,587,"Monument Street, Monument",,,
52606196,5160,9267,4/3/2016 15:44:00,448,"Fisherman's Walk West, Canary Wharf",4/3/2016 14:18:00,77,"Russell Square Station, Bloomsbury",,,
47691037,3060,8438,9/10/2015 13:17:00,421,"Southwark Station 2, Southwark",9/10/2015 12:26:00,196,"Union Street, The Borough",,,
56158437,2280,14113,7/20/2016 9:24:00,73,"Old Street Station, St. Luke's",7/20/2016 8:46:00,744,"Ingrave Street, Clapham Junction",,,
47320978,60,3049,8/28/2015 15:21:00,73,"Old Street Station, St. Luke's",8/28/2015 15:20:00,32,"Leonard Circus , Shoreditch",,,
63894112,2100,12234,4/9/2017 16:21:00,695,"Islington Green, Angel",4/9/2017 15:46:00,534,"Goldsmith's Row, Haggerston",,,
56502783,3600,2426,7/28/2016 14:01:00,781,"Victoria & Albert Museum, South Kensington",7/28/2016 13:01:00,710,"Albert Bridge Road, Battersea Park",,,
50540381,5340,10212,12/27/2015 11:45:00,192,"Wardour Street, Soho",12/27/2015 10:16:00,192,"Wardour Street, Soho",,,
65737829,3600,1867,6/4/2017 16:08:00,289,"South Audley Street, Mayfair",6/4/2017 15:08:00,110,"Wellington Road, St. John's Wood",,,
44654091,2100,12427,6/18/2015 9:29:00,366,"Millennium Hotel, Mayfair",6/18/2015 8:54:00,618,"Eel Brook Common, Walham Green",,,
55274111,3900,13958,6/26/2016 20:01:00,248,"Triangle Car Park, Hyde Park",6/26/2016 18:56:00,191,"Hyde Park Corner, Hyde Park",,,
64357922,3600,2799,4/24/2017 18:22:00,276,"Lower Thames Street, Monument",4/24/2017 17:22:00,527,"Hansard Mews, Holland Park",,,
56559148,2520,13348,7/29/2016 20:42:00,304,"Cumberland Gate, Hyde Park",7/29/2016 20:00:00,304,"Cumberland Gate, Hyde Park",,,
48442866,2820,3546,10/3/2015 23:44:00,188,"Nutford Place, Marylebone",10/3/2015 22:57:00,193,"Bankside Mix, Bankside",,,
53756644,3000,480,5/12/2016 16:03:00,406,"Speakers' Corner 2, Hyde Park",5/12/2016 15:13:00,307,"Black Lion Gate, Kensington Gardens",,,
