id,installed,latitude,locked,longitude,name,bikes_count,docks_count,nbEmptyDocks,temporary,terminal_name,install_date,removal_date
775,TRUE,51.496664,false,-0.223868,"Little Brook Green, Brook Green",27,33,5,FALSE,300101,3/31/2014,
828,TRUE,51.473874,false,-0.11258096,"Normandy Road, Stockwell",27,32,5,FALSE,300225,2/5/2018,
542,TRUE,51.514115,false,-0.033828,"Salmon Lane, Limehouse",28,33,5,FALSE,200147,,
206,TRUE,51.518154,false,-0.062697,"New Road 1 , Whitechapel",31,36,5,FALSE,1171,7/18/2010,
132,TRUE,51.52364804,false,-0.074754872,"Bethnal Green Road, Shoreditch",32,38,5,FALSE,973,7/15/2010,
404,TRUE,51.50204238,false,-0.184400221,"Palace Gate, Kensington Gardens",6,13,6,FALSE,1110,3/9/2011,
118,TRUE,51.49582705,false,-0.13547809,"Rochester Row, Westminster",7,13,6,FALSE,3457,7/14/2010,
201,TRUE,51.5225965,false,-0.161113413,"Dorset Square, Marylebone",9,16,6,FALSE,1162,7/18/2010,
259,TRUE,51.490959,false,-0.1532331,"Bourne Street, Belgravia",10,16,6,FALSE,1180,7/21/2010,
347,TRUE,51.50013942,false,-0.113936001,"Lower Marsh, Waterloo",11,17,6,FALSE,1219,9/6/2010,
530,TRUE,51.508896,false,-0.012413,"Newby Place, Poplar",12,18,6,FALSE,200146,,
316,TRUE,51.497998,false,-0.14296064,"Warwick Row, Westminster",13,21,6,FALSE,968,7/23/2010,10/18/2018
776,TRUE,51.460333,false,-0.167029,"Abyssinia Close, Clapham Junction",13,20,6,FALSE,300099,3/31/2014,
272,TRUE,51.50144456,false,-0.110699309,"Baylis Road, Waterloo",15,22,6,FALSE,1133,7/21/2010,
355,TRUE,51.461388,false,-0.13922146,"Clapham Common Station, Clapham Common",15,21,6,FALSE,2694,10/22/2010,
596,TRUE,51.472817,false,-0.199783,"Parson's Green , Parson's Green",15,21,6,FALSE,200237,,
227,TRUE,51.52891573,false,-0.115480888,"Great Percy Street, Clerkenwell",16,23,6,FALSE,3470,7/20/2010,
526,TRUE,51.503143,false,-0.008428,"Lancaster Drive, Blackwall",19,27,6,FALSE,200143,,
780,TRUE,51.474665,false,-0.18316517,"Imperial Wharf Station, Sands End",19,25,6,FALSE,300070,8/13/2015,
351,TRUE,51.529423,false,-0.097122,"Macclesfield Rd, St Lukes",22,28,6,FALSE,1226,10/11/2010,
476,TRUE,51.489096,false,-0.009205,"Stebondale Street, Cubitt Town",22,29,6,FALSE,200009,1/19/2012,
317,TRUE,51.49679128,false,-0.093913472,"Dickens Square, Borough",24,32,6,FALSE,1208,7/23/2010,
648,TRUE,51.46904022,false,-0.19627483,"Peterborough Road, Sands End",24,30,6,FALSE,200171,10/21/2013,
633,TRUE,51.48959104,false,-0.209378594,"Vereker Road, West Kensington",25,32,6,FALSE,200116,10/10/2013,
144,TRUE,51.48894022,false,-0.111435796,"Kennington Cross, Kennington",41,47,6,FALSE,1093,7/15/2010,
361,TRUE,51.50391973,false,-0.11342629,"Waterloo Station 2, Waterloo",47,55,6,FALSE,2692,12/9/2010,
